"","Country","Happiness","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","PositiveAffect","NegativeAffect","ConfidenceInGovernment","Region"
"1","Afghanistan",2.66171813011169,7.49775457382202,0.490880072116852,52.7999992370605,0.427010864019394,-0.112198285758495,0.954392552375793,0.496348559856415,0.371326178312302,0.261178523302078,"Southern Asia"
"2","Albania",4.63954830169678,9.376145362854,0.637698292732239,68.4000015258789,0.749611020088196,-0.0326428152620792,0.876134634017944,0.669240891933441,0.333884119987488,0.457737535238266,"Central and Eastern Europe"
"3","Algeria",5.24891233444214,9.54063892364502,0.806753873825073,65.6999969482422,0.436670482158661,-0.191522106528282,0.699774205684662,0.64197963476181,0.288710027933121,NA,"Middle East and Northern Africa"
"4","Argentina",6.03933000564575,9.84870910644531,0.906699120998383,68.5999984741211,0.831966161727905,-0.182599917054176,0.8410524725914,0.809422612190247,0.291717261075974,0.305430293083191,"Latin America and Caribbean"
"5","Armenia",4.28773641586304,9.08109474182129,0.697924911975861,66.5999984741211,0.613697052001953,-0.133957877755165,0.864683330059052,0.625013828277588,0.437148749828339,0.246900990605354,"Central and Eastern Europe"
"6","Australia",7.25703763961792,10.7065811157227,0.949957847595215,73.3000030517578,0.910550177097321,0.308772951364517,0.411346524953842,0.780078887939453,0.225360974669456,0.45340695977211,"Australia and New Zealand"
"7","Austria",7.29372787475586,10.7240753173828,0.906217813491821,72.6999969482422,0.890030562877655,0.131114438176155,0.51830381155014,0.747568726539612,0.180268719792366,0.435907930135727,"Western Europe"
"8","Azerbaijan",5.15227937698364,9.67076206207275,0.787039399147034,65.1999969482422,0.731030464172363,-0.245215877890587,0.652539014816284,0.592359244823456,0.198318660259247,0.766583442687988,"Central and Eastern Europe"
"9","Bahrain",6.22732067108154,10.6756935119629,0.87574714422226,68.5,0.905858516693115,0.128193482756615,NA,0.813570559024811,0.289759516716003,NA,"Middle East and Northern Africa"
"10","Bangladesh",4.3097710609436,8.1673469543457,0.712552785873413,63.7999992370605,0.896217167377472,0.0162690617144108,0.635014474391937,0.568827092647552,0.213505759835243,0.876646459102631,"Southern Asia"
"11","Belarus",5.55291509628296,9.75080013275146,0.900255799293518,65.8000030517578,0.620979249477386,-0.129172563552856,0.654113411903381,0.540905773639679,0.232768073678017,0.447916299104691,"Central and Eastern Europe"
"12","Belgium",6.92834758758545,10.6609840393066,0.921639084815979,71.8000030517578,0.856801986694336,0.0517601482570171,0.543046057224274,0.78636759519577,0.233597695827484,0.449731916189194,"Western Europe"
"13","Benin",4.85318088531494,7.63251543045044,0.435878992080688,53.9000015258789,0.726808249950409,-0.0428110808134079,0.767234623432159,0.614722311496735,0.457920342683792,0.615089297294617,"Sub-Saharan Africa"
"14","Bolivia",5.65055274963379,8.83722114562988,0.778661787509918,63.2999992370605,0.883904933929443,-0.11527493596077,0.819261968135834,0.698195397853851,0.433943539857864,0.427632957696915,"Latin America and Caribbean"
"15","Bosnia and Herzegovina",5.08990240097046,9.36853122711182,0.775295257568359,67.5,0.563798666000366,0.0924986377358437,0.923343062400818,0.597341656684875,0.270745515823364,0.1263797134161,"Central and Eastern Europe"
"16","Botswana",3.50488114356995,9.66823196411133,0.768258631229401,58.2000007629395,0.817308008670807,-0.253493279218674,0.731441497802734,0.656396448612213,0.276252508163452,0.770821094512939,"Sub-Saharan Africa"
"17","Brazil",6.3329291343689,9.55417442321777,0.904694259166718,66.1999969482422,0.764792561531067,-0.184547558426857,0.794457376003265,0.71594512462616,0.307716906070709,0.16549026966095,"Latin America and Caribbean"
"18","Bulgaria",5.09690189361572,9.82894229888916,0.941754579544067,66.5999984741211,0.689047038555145,-0.156459167599678,0.910799741744995,0.61421674489975,0.188637346029282,0.326087951660156,"Central and Eastern Europe"
"19","Burkina Faso",4.64689111709595,7.44020652770996,0.784761369228363,53.4000015258789,0.613774716854095,-0.0548434555530548,0.727451324462891,0.585172474384308,0.353821069002151,0.54065614938736,"Sub-Saharan Africa"
"20","Cambodia",4.58584213256836,8.20113086700439,0.765094935894012,61.2000007629395,0.963774681091309,0.0859953239560127,0.821022927761078,0.798616647720337,0.408283829689026,0.752442479133606,"Southeastern Asia"
"21","Cameroon",5.07405138015747,8.12116146087646,0.694596409797668,51.9000015258789,0.766945004463196,-0.0315709635615349,0.843585610389709,0.632338762283325,0.377498745918274,0.578775525093079,"Sub-Saharan Africa"
"22","Canada",7.41486835479736,10.6923446655273,0.933748960494995,73.4000015258789,0.945145010948181,0.155016168951988,0.362034320831299,0.862773478031158,0.217981159687042,0.652735948562622,"North America"
"23","Central African Republic",3.4758620262146,6.49411678314209,0.319589138031006,45.2000007629395,0.645252346992493,0.0937543585896492,0.889566004276276,0.613865196704865,0.599335491657257,0.650284886360168,"Sub-Saharan Africa"
"24","Chad",4.55893707275391,7.47769117355347,0.660615563392639,47.7000007629395,0.61484968662262,-0.00491950381547213,0.792389929294586,0.627503156661987,0.538245439529419,0.473544389009476,"Sub-Saharan Africa"
"25","Chile",6.32011938095093,10.0330686569214,0.879840791225433,69.8000030517578,0.790116488933563,-0.0302612632513046,0.835987508296967,0.838474810123444,0.29104208946228,0.268283307552338,"Latin America and Caribbean"
"26","China",5.09906148910522,9.63617706298828,0.772033214569092,69,0.877617597579956,-0.191224813461304,NA,0.821097254753113,0.214004755020142,NA,"Eastern Asia"
"27","Colombia",6.15734195709229,9.49212646484375,0.90924996137619,67.4000015258789,0.837554633617401,-0.162942990660667,0.875018119812012,0.836926996707916,0.299308955669403,0.221882596611977,"Latin America and Caribbean"
"28","Congo (Brazzaville)",4.88399124145508,8.49318885803223,0.655440509319305,57.2999992370605,0.777783453464508,-0.163537174463272,0.762783110141754,0.598951637744904,0.381640553474426,0.469826549291611,"Sub-Saharan Africa"
"29","Congo (Kinshasa)",4.31103324890137,6.69472694396973,0.669688403606415,52.9000015258789,0.704239547252655,0.0850663632154465,0.809181869029999,0.550525903701782,0.404262065887451,0.478412300348282,"Sub-Saharan Africa"
"30","Costa Rica",7.22518157958984,9.65020656585693,0.92169713973999,71.0999984741211,0.935618460178375,-0.0731791779398918,0.74235075712204,0.874395847320557,0.275440067052841,0.407448440790176,"Latin America and Caribbean"
"31","Croatia",5.3431658744812,10.0287885665894,0.770309686660767,69.5999984741211,0.715822279453278,-0.105906412005424,0.891559720039368,0.655305027961731,0.316488236188889,0.211000666022301,"Central and Eastern Europe"
"32","Cyprus",6.06205129623413,10.3863801956177,0.818671047687531,73.5,0.811670660972595,0.0400627143681049,0.851206421852112,0.784188449382782,0.300516605377197,0.312653422355652,"Western Europe"
"33","Czech Republic",6.7895679473877,10.3922491073608,0.900968968868256,69.8000030517578,0.831785500049591,-0.178765177726746,0.866524994373322,0.738743960857391,0.226649791002274,0.34387081861496,"Central and Eastern Europe"
"34","Denmark",7.59370231628418,10.7511253356934,0.952100098133087,72.0999984741211,0.955416321754456,0.152028441429138,0.181147560477257,0.823667407035828,0.205775305628777,0.572353303432465,"Western Europe"
"35","Dominican Republic",5.60520267486572,9.58883571624756,0.89436811208725,65.5,0.855359017848969,-0.123324632644653,0.760489642620087,0.738943636417389,0.274745523929596,0.459901332855225,"Latin America and Caribbean"
"36","Ecuador",5.83951854705811,9.2669038772583,0.848941743373871,68.1999969482422,0.879128158092499,-0.170977935194969,0.733588755130768,0.829141974449158,0.314343482255936,0.640512883663177,"Latin America and Caribbean"
"37","Egypt",3.92934417724609,9.26390075683594,0.638226389884949,61.4000015258789,0.592504799365997,-0.159880474209785,NA,0.539322555065155,0.414493799209595,NA,"Middle East and Northern Africa"
"38","El Salvador",6.33931827545166,8.89459609985352,0.828952610492706,65.8000030517578,0.757827341556549,-0.17079296708107,0.777748584747314,0.848850607872009,0.268448352813721,0.270235061645508,"Latin America and Caribbean"
"39","Estonia",5.93839597702026,10.2915096282959,0.935686349868774,68.4000015258789,0.861749231815338,-0.104597918689251,0.668402254581451,0.805217981338501,0.160164102911949,0.405946254730225,"Central and Eastern Europe"
"40","Ethiopia",4.18031549453735,7.45583438873291,0.733539760112762,58,0.717101216316223,0.00751884281635284,0.756898939609528,0.608514785766602,0.304436177015305,0.768354296684265,"Sub-Saharan Africa"
"41","Finland",7.78825187683105,10.6111717224121,0.963826417922974,71.8000030517578,0.962198972702026,-0.00569597538560629,0.192412778735161,0.787137091159821,0.176065787672997,0.597538590431213,"Western Europe"
"42","France",6.63522243499756,10.5611543655396,0.9314945936203,73.5999984741211,0.83389014005661,-0.127377018332481,0.601486027240753,0.762097775936127,0.241983935236931,0.374793529510498,"Western Europe"
"43","Gabon",4.78238296508789,9.71489143371582,0.806941151618958,59.2000007629395,0.652359545230865,-0.247073993086815,0.868305504322052,0.634047150611877,0.446124285459518,0.286989241838455,"Sub-Saharan Africa"
"44","Gambia",4.11793899536133,7.35357284545898,0.697001516819,54.7000007629395,0.812325835227966,0.126379773020744,0.57161557674408,0.838287174701691,0.277247190475464,0.796493291854858,"Sub-Saharan Africa"
"45","Georgia",4.45077466964722,9.1845178604126,0.59049516916275,64.6999969482422,0.820908784866333,-0.230505853891373,0.589631974697113,0.58112770318985,0.209639608860016,0.296396225690842,"Central and Eastern Europe"
